rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_group,clean_provider_model_class,revenue_source_method,stabilization_tier,stabilization_basis,net_patient_revenue_model,outpatient_exposure_used,outpatient_repricing_pressure,uncompensated_care_offset,stabilization_support,base_net_impact,base_net_impact_pct_npr,current_access_support,current_access_net_impact_pct_npr,enhanced_access_support,enhanced_access_net_impact_pct_npr,high_access_support,high_access_net_impact_pct_npr,enhanced_plus_floor_2pct_support,enhanced_plus_floor_2pct_net_impact_pct_npr,enhanced_plus_floor_1_5pct_support,enhanced_plus_floor_1_5pct_net_impact_pct_npr,high_plus_floor_1pct_support,high_plus_floor_1pct_net_impact_pct_npr
826045,351336,ST JOSEPHS HOSPITAL & HEALTH CTR,DICKINSON,ND,Short-term acute/general hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,76364152,57776778.2775926,-5777677.82775926,1585032.25,577767.782775926,-3614877.79498334,-0.0473373657705691,763641.52,-0.0373373657705692,1527283.04,-0.0273373657705692,2290924.56,-0.0173373657705692,2087594.75498334,-0.02,2469415.51498334,-0.015,2851236.27498334,-0.01
800937,150162,FRANCISCAN HEALTH INDIANAPOLIS,INDIANAPOLIS,IN,Short-term acute/general hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,939880287,537407066.015362,-53740706.6015362,4551843.5,5374070.66015362,-43814792.4413826,-0.0466174182472056,3e+06,-0.0434255223839827,5e+06,-0.0412975918085008,7500000,-0.0386376785891485,25017186.7013826,-0.02,29716588.1363826,-0.015,34415989.5713826,-0.01
825134,121304,KAHUKU MEDICAL CENTER,KAHUKU,HI,Critical access hospital,Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,24367339,14853390.229242,-1485339.0229242,227278.5,148533.90229242,-1109526.62063178,-0.04553335186217,243673.39,-0.0355333518621701,487346.78,-0.0255333518621701,731020.17,-0.0155333518621701,622179.84063178,-0.02,744016.53563178,-0.015,865853.23063178,-0.01
823853,150126,FRANCISCAN HEALTH CROWN POINT,CROWN POINT,IN,Short-term acute/general hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,324301272,183275292.038553,-18327529.2038553,1788104.75,1832752.92038553,-14706671.5334698,-0.0453487938631021,3e+06,-0.036098136344867,5e+06,-0.0299310313327103,7500000,-0.0222221500675144,8220646.0934698,-0.02,9842152.4534698,-0.015,11463658.8134698,-0.01
798765,21305,WRANGELL MEDICAL CENTER,WRANGELL,AK,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,19081407,10769955.8404577,-1076995.58404577,116211.75,107699.558404577,-853084.275641189,-0.0447076190786764,190814.07,-0.0347076190786764,381628.14,-0.0247076190786764,572442.21,-0.0147076190786764,471456.135641189,-0.02,566863.170641189,-0.015,662270.205641189,-0.01
812664,153048,INDIANAPOLIS REHABILITATION HOSPITAL,CARMEL,IN,Children's hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,children_total_only_fallback,Tier 2 - moderate transition support,class-based transition protection,21498704,9674416.8,-967441.68,0,96744.168,-870697.512,-0.0405,214987.04,-0.0305,429974.08,-0.0205,644961.12,-0.0105,440723.432,-0.02,548216.952,-0.015,655710.472,-0.01
826506,330140,ST. JOSEPHS HOSPITAL HEALTH CENTER,SYRACUSE,NY,Short-term acute/general hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,631528567,291555570.613692,-29155557.0613692,1822046.25,2915555.70613692,-24417955.1052323,-0.0386648465028697,3e+06,-0.0339144675702886,5e+06,-0.0307475482819011,7500000,-0.0267888991714167,11787383.7652323,-0.02,14945026.6002323,-0.015,18102669.4352323,-0.01
823399,11305,ST. VINCENTS BLOUNT,ONEONTA,AL,Critical access hospital,Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,Tier 3 - high transition support,class + UC burden,28425039,23439371.8756111,-2343937.18756111,850629.5,468787.437512223,-1024520.25004889,-0.0360428793096429,284250.39,-0.0260428793096428,568500.78,-0.0160428793096428,852751.17,-0.00604287930964282,568500.78,-0.0160428793096428,598144.66504889,-0.015,852751.17,-0.00604287930964282
798381,21314,MT EDGECUMBE HOSPITAL,JUNEAU,AK,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,343276245,102982873.5,-10298287.35,0,1029828.735,-9268458.615,-0.027,3e+06,-0.0182606827775106,5e+06,-0.012434471295851,7500000,-0.00515170694377643,5e+06,-0.012434471295851,5e+06,-0.012434471295851,7500000,-0.00515170694377643
798535,31307,PARKER INDIAN HEALTH CENTER,PARKER,AZ,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,69561772,20868531.6,-2086853.16,0,208685.316,-1878167.844,-0.027,695617.72,-0.017,1391235.44,-0.007,2086853.16,0.003,1391235.44,-0.007,1391235.44,-0.007,2086853.16,0.003
798536,31308,HU HU KAM MEMORIAL HOSPITAL,SACATON,AZ,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,320029147,96008744.1,-9600874.41,0,960087.441,-8640786.969,-0.027,3e+06,-0.0176258538382443,5e+06,-0.0113764230637405,7500000,-0.00356463459561076,5e+06,-0.0113764230637405,5e+06,-0.0113764230637405,7500000,-0.00356463459561076
798766,21309,KANAKANAK HOSPITAL,DILLINGHAM,AK,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,159180637,47754191.1,-4775419.11,0,477541.911,-4297877.199,-0.027,1591806.37,-0.017,3183612.74,-0.007,4775419.11,0.003,3183612.74,-0.007,3183612.74,-0.007,4775419.11,0.003
799048,31305,HOPI HEALTH CENTER,POLACCA,AZ,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,80025953,24007785.9,-2400778.59,0,240077.859,-2160700.731,-0.027,800259.53,-0.017,1600519.06,-0.007,2400778.59,0.003,1600519.06,-0.007,1600519.06,-0.007,2400778.59,0.003
799178,431383,PHS HOSPITAL - EAGLE BUTTE,EAGLE BUTTE,SD,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,65305942,19591782.6,-1959178.26,0,195917.826,-1763260.434,-0.027,653059.42,-0.017,1306118.84,-0.007,1959178.26,0.003,1306118.84,-0.007,1306118.84,-0.007,1959178.26,0.003
799278,351364,STANDING ROCK IHS HOSPITAL,FORT YATES,ND,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,38919257,11675777.1,-1167577.71,0,116757.771,-1050819.939,-0.027,389192.57,-0.017,778385.14,-0.007,1167577.71,0.003,778385.14,-0.007,778385.14,-0.007,1167577.71,0.003
799312,21310,MANIILAQ HEALTH CENTER,KOTZEBUE,AK,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,88386903,26516070.9,-2651607.09,0,265160.709,-2386446.381,-0.027,883869.03,-0.017,1767738.06,-0.007,2651607.09,0.003,1767738.06,-0.007,1767738.06,-0.007,2651607.09,0.003
800324,31320,SAN CARLOS APACHE HEALTHCARE CORP,PERIDOT,AZ,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,138342216,41502664.8,-4150266.48,0,415026.648,-3735239.832,-0.027,1383422.16,-0.017,2766844.32,-0.007,4150266.48,0.003,2766844.32,-0.007,2766844.32,-0.007,4150266.48,0.003
800419,241358,CASS LAKE INDIAN HOSPITAL,CASS LAKE,MN,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,77689833,23306949.9,-2330694.99,0,233069.499,-2097625.491,-0.027,776898.33,-0.017,1553796.66,-0.007,2330694.99,0.003,1553796.66,-0.007,1553796.66,-0.007,2330694.99,0.003
800707,271339,CROW/NORTHERN CHEYENNE INDIAN HOSPIT,CROW AGENCY,MT,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,91639545,27491863.5,-2749186.35,0,274918.635,-2474267.715,-0.027,916395.45,-0.017,1832790.9,-0.007,2749186.35,0.003,1832790.9,-0.007,1832790.9,-0.007,2749186.35,0.003
808538,370170,LAWTON INDIAN HOSPITAL,LAWTON,OK,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,143890851,43167255.3,-4316725.53,0,431672.553,-3885052.977,-0.027,1438908.51,-0.017,2877817.02,-0.007,4316725.53,0.003,2877817.02,-0.007,2877817.02,-0.007,4316725.53,0.003
811262,30084,CHINLE COMPREHENSIVE CARE FACILITY,CHINLE,AZ,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,238729915,71618974.5,-7161897.45,0,716189.745,-6445707.705,-0.027,2387299.15,-0.017,4774598.3,-0.007,7161897.45,0.003,4774598.3,-0.007,4774598.3,-0.007,7161897.45,0.003
811264,30113,USPHS HOSPITAL-WHITERIVER,WHITERIVER,AZ,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,139615766,41884729.8,-4188472.98,0,418847.298,-3769625.682,-0.027,1396157.66,-0.017,2792315.32,-0.007,4188472.98,0.003,2792315.32,-0.007,2792315.32,-0.007,4188472.98,0.003
811908,370171,CHEROKEE NATION WW HASTINGS HOSPITAL,TAHLEQUAH,OK,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,220778594,66233578.2,-6623357.82,0,662335.782,-5961022.038,-0.027,2207785.94,-0.017,4415571.88,-0.007,6623357.82,0.003,4415571.88,-0.007,4415571.88,-0.007,6623357.82,0.003
811953,430084,USPHS HOSPITAL - ROSEBUD,ROSEBUD,SD,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,77478234,23243470.2,-2324347.02,0,232434.702,-2091912.318,-0.027,774782.34,-0.017,1549564.68,-0.007,2324347.02,0.003,1549564.68,-0.007,1549564.68,-0.007,2324347.02,0.003
812170,20026,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,847847063,254354118.9,-25435411.89,0,2543541.189,-22891870.701,-0.027,3e+06,-0.0234616260043588,5e+06,-0.0211027100072646,7500000,-0.0181540650108969,5934929.441,-0.02,10174164.756,-0.015,14413400.071,-0.01
812963,320057,SANTA FE INDIAN HOSPITAL,SANTA FE,NM,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,48751798,14625539.4,-1462553.94,0,146255.394,-1316298.546,-0.027,487517.98,-0.017,975035.96,-0.007,1462553.94,0.003,975035.96,-0.007,975035.96,-0.007,1462553.94,0.003
812964,320061,GALLUP INDIAN MEDICAL CENTER,GALLUP,NM,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,307292668,92187800.4,-9218780.04,0,921878.004,-8296902.036,-0.027,3e+06,-0.0172373199480308,5e+06,-0.0107288665800513,7500000,-0.00259329987007695,5e+06,-0.0107288665800513,5e+06,-0.0107288665800513,7500000,-0.00259329987007695
813077,340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,CHEROKEE,NC,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,143808457,43142537.1,-4314253.71,0,431425.371,-3882828.339,-0.027,1438084.57,-0.017,2876169.14,-0.007,4314253.71,0.003,2876169.14,-0.007,2876169.14,-0.007,4314253.71,0.003
813181,370173,CLAREMORE INDIAN HOSPITAL,CLAREMORE,OK,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,111536354,33460906.2,-3346090.62,0,334609.062,-3011481.558,-0.027,1115363.54,-0.017,2230727.08,-0.007,3346090.62,0.003,2230727.08,-0.007,2230727.08,-0.007,3346090.62,0.003
813182,370180,CHICKASAW NATION MEDICAL CENTER,ADA,OK,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,401124109,120337232.7,-12033723.27,0,1203372.327,-10830350.943,-0.027,3e+06,-0.0195210179775058,5e+06,-0.0145350299625097,7500000,-0.00830254494376453,5e+06,-0.0145350299625097,5e+06,-0.0145350299625097,7500000,-0.00830254494376453
813306,430098,PINE RIDGE HOSPITAL,PINE RIDGE,SD,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,120102183,36030654.9,-3603065.49,0,360306.549,-3242758.941,-0.027,1201021.83,-0.017,2402043.66,-0.007,3603065.49,0.003,2402043.66,-0.007,2402043.66,-0.007,3603065.49,0.003
813582,20018,YK DELTA REGIONAL HOSPITAL,BETHEL,AK,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,338089353,101426805.9,-10142680.59,0,1014268.059,-9128412.531,-0.027,3e+06,-0.0181266061075872,5e+06,-0.012211010179312,7500000,-0.00481651526896796,5e+06,-0.012211010179312,5e+06,-0.012211010179312,7500000,-0.00481651526896796
813586,30073,TUBA CITY REG HEALTH CARE CORP,TUBA CITY,AZ,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,247607129,74282138.7,-7428213.87,0,742821.387,-6685392.483,-0.027,2476071.29,-0.017,4952142.58,-0.007,7428213.87,0.003,4952142.58,-0.007,4952142.58,-0.007,7428213.87,0.003
813587,30078,PHOENIX INDIAN MEDICAL CENTER,PHOENIX,AZ,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,304265045,91279513.5,-9127951.35,0,912795.135,-8215156.215,-0.027,3e+06,-0.0171401753198433,5e+06,-0.0105669588664054,7500000,-0.00235043829960816,5e+06,-0.0105669588664054,5e+06,-0.0105669588664054,7500000,-0.00235043829960816
813659,270074,BLACKFEET COMMUNITY HOSPITAL,BROWNING,MT,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,83911418,25173425.4,-2517342.54,0,251734.254,-2265608.286,-0.027,839114.18,-0.017,1678228.36,-0.007,2517342.54,0.003,1678228.36,-0.007,1678228.36,-0.007,2517342.54,0.003
813668,320060,ZUNI COMPREHENSIVE HEALTH CENTER,ZUNI,NM,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,64547018,19364105.4,-1936410.54,0,193641.054,-1742769.486,-0.027,645470.18,-0.017,1290940.36,-0.007,1936410.54,0.003,1290940.36,-0.007,1290940.36,-0.007,1936410.54,0.003
813669,320062,CROWNPOINT INDIAN HOSPITAL,CROWNPOINT,NM,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,105686962,31706088.6,-3170608.86,0,317060.886,-2853547.974,-0.027,1056869.62,-0.017,2113739.24,-0.007,3170608.86,0.003,2113739.24,-0.007,2113739.24,-0.007,3170608.86,0.003
813686,350063,QUENTIN N BURDICK MEMORIAL HOSPITAL,BELCOURT,ND,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,100444681,30133404.3,-3013340.43,0,301334.043,-2712006.387,-0.027,1004446.81,-0.017,2008893.62,-0.007,3013340.43,0.003,2008893.62,-0.007,2008893.62,-0.007,3013340.43,0.003
813690,370172,CHOCTAW NATION HEALTH CARE CENTER,TALIHINA,OK,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,371165087,111349526.1,-11134952.61,0,1113495.261,-10021457.349,-0.027,3e+06,-0.0189173432386974,5e+06,-0.0135289053978291,7500000,-0.00679335809674362,5e+06,-0.0135289053978291,5e+06,-0.0135289053978291,7500000,-0.00679335809674362
813811,30071,FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,AZ,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,225388457,67616537.1,-6761653.71,0,676165.371,-6085488.339,-0.027,2253884.57,-0.017,4507769.14,-0.007,6761653.71,0.003,4507769.14,-0.007,4507769.14,-0.007,6761653.71,0.003
813812,30074,SELLS HOSPITAL,SELLS,AZ,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,104502036,31350610.8,-3135061.08,0,313506.108,-2821554.972,-0.027,1045020.36,-0.017,2090040.72,-0.007,3135061.08,0.003,2090040.72,-0.007,2090040.72,-0.007,3135061.08,0.003
814521,240206,RED LAKE INDIAN HOSPITAL,RED LAKE,MN,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,61921050,18576315,-1857631.5,0,185763.15,-1671868.35,-0.027,619210.5,-0.017,1238421,-0.007,1857631.5,0.003,1238421,-0.007,1238421,-0.007,1857631.5,0.003
814658,320059,NORTHERN NAVAJO MEDICAL CENTER,SHIPROCK,NM,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,283225694,84967708.2,-8496770.82,0,849677.082,-7647093.738,-0.027,2832256.94,-0.017,5e+06,-0.00934623444863021,7500000,-0.000519351672945322,5e+06,-0.00934623444863021,5e+06,-0.00934623444863021,7500000,-0.000519351672945322
819117,250127,CHOCTAW HEALTH CENTER,CHOCTAW,MS,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,64700619,19410185.7,-1941018.57,0,194101.857,-1746916.713,-0.027,647006.19,-0.017,1294012.38,-0.007,1941018.57,0.003,1294012.38,-0.007,1294012.38,-0.007,1941018.57,0.003
819317,280059,TWELVE CLANS UNITY HOSPITAL,WINNEBAGO,NE,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,54542527,16362758.1,-1636275.81,0,163627.581,-1472648.229,-0.027,545425.27,-0.017,1090850.54,-0.007,1636275.81,0.003,1090850.54,-0.007,1090850.54,-0.007,1636275.81,0.003
831271,271315,FORT BELKNAP HEALTH CENTER,HARLEM,MT,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,51981260,15594378,-1559437.8,0,155943.78,-1403494.02,-0.027,519812.6,-0.017,1039625.2,-0.007,1559437.8,0.003,1039625.2,-0.007,1039625.2,-0.007,1559437.8,0.003
825957,30024,ST. JOSEPHS HOSPITAL & MEDICAL CTR,PHOENIX,AZ,Short-term acute/general hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,1501523444,587627233.396709,-58762723.3396709,14501602,5876272.33396709,-38384849.0057038,-0.0255639358540071,3e+06,-0.023565965051761,5e+06,-0.0222339845169303,7500000,-0.0205690088483918,8354380.1257038,-0.02,15861997.3457038,-0.015,23369614.5657038,-0.01
798646,21312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,BARROW,AK,Rural primary care hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,159122428,37656502.8,-3765650.28,0,376565.028,-3389085.252,-0.021298601929327,1591224.28,-0.011298601929327,3182448.56,-0.00129860192932702,4773672.84,0.00870139807067298,3182448.56,-0.00129860192932702,3182448.56,-0.00129860192932702,4773672.84,0.00870139807067298
825368,121307,HALE HOOLA HAMAKUA,HONOKAA,HI,Critical access hospital,Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,27529429,6362527.73306882,-636252.773306883,20419.25,63625.2773306882,-552208.245976194,-0.0200588339836687,275294.29,-0.0100588339836687,550588.58,-5.88339836686799e-05,825882.87,0.00994116601633132,550588.58,-5.88339836686799e-05,550588.58,-5.88339836686799e-05,825882.87,0.00994116601633132
